assay,std_type,SMILES,std_value,std_units,standard_relation,molecule_chembl_id,activity_type,structure_curated,substance_type_name,pIC50
"Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 100 uL cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).",IC50,CO[C@H]1CC[C@]2(CCc3ccc(-c4cc(Cl)cc(C#N)c4)cc3C23N=C(C)C(N)=N3)CC1,4.5,nM,=,CHEMBL3672732,active,CO[C@H]1CC[C@]2(CCc3ccc(-c4cc(Cl)cc(C#N)c4)cc3C23N=C(C)C(N)=N3)CC1,organic,8.346787486224656
"Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 1004, cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).",IC50,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3(C)CC3)cc1C21N=C(C)C(N)=N1,2.8,nM,=,CHEMBL3915935,active,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3(C)CC3)cc1C21N=C(C)C(N)=N1,organic,8.55284196865778
"Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 1004, cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).",IC50,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC(F)(F)C3)cc1C21N=C(C)C(N)=N1,8.4,nM,=,CHEMBL3891403,active,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC(F)(F)C3)cc1C21N=C(C)C(N)=N1,organic,8.075720713938118
"Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 1004, cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).",IC50,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3)cc1C21N=C(C)C(N)=N1,1.6,nM,=,CHEMBL3923244,active,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3)cc1C21N=C(C)C(N)=N1,organic,8.795880017344075
"Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 1004, cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).",IC50,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3)cc1[C@@]21N=C(C)C(N)=N1,0.9,nM,=,CHEMBL3937398,active,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3)cc1[C@@]21N=C(C)C(N)=N1,organic,9.045757490560675
"Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 1004, cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).",IC50,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3(F)F)cc1C21N=C(C)C(N)=N1,2.3,nM,=,CHEMBL3905816,active,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3(F)F)cc1C21N=C(C)C(N)=N1,organic,8.638272163982407
"Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 1004, cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).",IC50,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CCC3)cc1C21N=C(C)C(N)=N1,1.5,nM,=,CHEMBL3961886,active,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CCC3)cc1C21N=C(C)C(N)=N1,organic,8.823908740944319
"Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 1004, cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).",IC50,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CCC3)cc1[C@@]21N=C(C)C(N)=N1,1.3,nM,=,CHEMBL3927449,active,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CCC3)cc1[C@@]21N=C(C)C(N)=N1,organic,8.886056647693163
"Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 1004, cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).",IC50,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCCC3CC3)cc1C21N=C(C)C(N)=N1,0.8,nM,=,CHEMBL3939963,active,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCCC3CC3)cc1C21N=C(C)C(N)=N1,organic,9.096910013008056
"In Vitro Inhibition Assay: The assay protocol employed was a modified version of that described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643, incorporated herein by reference. Briefly, recombinant peptide substrate was incubated with γ-secretase (40 μg/ml) in the presence or absence of test compound. The reaction mixture contained 0.25% CHAPSO, 0.1 μg/μl BSA, protease inhibitor, 50 mM PIPES, pH 7.0, 5 mM MgCl2, 5 mM CaCl2 and 150 mM KCl. The reaction was incubated for 2.5 hr at 37° C. and stopped by adding RIPA buffer (150 mM NaCl, 1.0% NP-40, 0.5% sodium deoxycholate, 0.1% SDS, 50 mM Tris HCl, pH 8.0). The products were detected with various antibody combinations using electrochemiluminescence (ECL) technology as previously described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643; Lai et al., 2003, J. Biol. Chem. 278: 22475-22481; and Yin et al., 2007, J. Biol. Chem. 282:23639-23644.",IC50,O=C(Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1)c1ccc(C(F)(F)F)cc1,1000.0,nM,=,CHEMBL3692695,active,O=C(Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1)c1ccc(C(F)(F)F)cc1,organic,6.0
"In Vitro Inhibition Assay: The assay protocol employed was a modified version of that described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643, incorporated herein by reference. Briefly, recombinant peptide substrate was incubated with γ-secretase (40 μg/ml) in the presence or absence of test compound. The reaction mixture contained 0.25% CHAPSO, 0.1 μg/μl BSA, protease inhibitor, 50 mM PIPES, pH 7.0, 5 mM MgCl2, 5 mM CaCl2 and 150 mM KCl. The reaction was incubated for 2.5 hr at 37° C. and stopped by adding RIPA buffer (150 mM NaCl, 1.0% NP-40, 0.5% sodium deoxycholate, 0.1% SDS, 50 mM Tris HCl, pH 8.0). The products were detected with various antibody combinations using electrochemiluminescence (ECL) technology as previously described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643; Lai et al., 2003, J. Biol. Chem. 278: 22475-22481; and Yin et al., 2007, J. Biol. Chem. 282:23639-23644.",IC50,O=C(Cc1ccc(C(F)(F)F)cc1)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,800.0,nM,=,CHEMBL3692696,active,O=C(Cc1ccc(C(F)(F)F)cc1)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,organic,6.096910013008056
"In Vitro Inhibition Assay: The assay protocol employed was a modified version of that described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643, incorporated herein by reference. Briefly, recombinant peptide substrate was incubated with γ-secretase (40 μg/ml) in the presence or absence of test compound. The reaction mixture contained 0.25% CHAPSO, 0.1 μg/μl BSA, protease inhibitor, 50 mM PIPES, pH 7.0, 5 mM MgCl2, 5 mM CaCl2 and 150 mM KCl. The reaction was incubated for 2.5 hr at 37° C. and stopped by adding RIPA buffer (150 mM NaCl, 1.0% NP-40, 0.5% sodium deoxycholate, 0.1% SDS, 50 mM Tris HCl, pH 8.0). The products were detected with various antibody combinations using electrochemiluminescence (ECL) technology as previously described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643; Lai et al., 2003, J. Biol. Chem. 278: 22475-22481; and Yin et al., 2007, J. Biol. Chem. 282:23639-23644.",IC50,O=C(CCc1cc(C(F)(F)F)ccc1C(F)(F)F)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,630000.0,nM,=,CHEMBL3692697,inactive,O=C(CCc1cc(C(F)(F)F)ccc1C(F)(F)F)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,organic,3.2006594505464183
"In Vitro Inhibition Assay: The assay protocol employed was a modified version of that described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643, incorporated herein by reference. Briefly, recombinant peptide substrate was incubated with γ-secretase (40 μg/ml) in the presence or absence of test compound. The reaction mixture contained 0.25% CHAPSO, 0.1 μg/μl BSA, protease inhibitor, 50 mM PIPES, pH 7.0, 5 mM MgCl2, 5 mM CaCl2 and 150 mM KCl. The reaction was incubated for 2.5 hr at 37° C. and stopped by adding RIPA buffer (150 mM NaCl, 1.0% NP-40, 0.5% sodium deoxycholate, 0.1% SDS, 50 mM Tris HCl, pH 8.0). The products were detected with various antibody combinations using electrochemiluminescence (ECL) technology as previously described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643; Lai et al., 2003, J. Biol. Chem. 278: 22475-22481; and Yin et al., 2007, J. Biol. Chem. 282:23639-23644.",IC50,O=C(CCOc1ccc(F)cc1)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,20000.0,nM,=,CHEMBL3692698,inactive,O=C(CCOc1ccc(F)cc1)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,organic,4.698970004336019
"In Vitro Inhibition Assay: The assay protocol employed was a modified version of that described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643, incorporated herein by reference. Briefly, recombinant peptide substrate was incubated with γ-secretase (40 μg/ml) in the presence or absence of test compound. The reaction mixture contained 0.25% CHAPSO, 0.1 μg/μl BSA, protease inhibitor, 50 mM PIPES, pH 7.0, 5 mM MgCl2, 5 mM CaCl2 and 150 mM KCl. The reaction was incubated for 2.5 hr at 37° C. and stopped by adding RIPA buffer (150 mM NaCl, 1.0% NP-40, 0.5% sodium deoxycholate, 0.1% SDS, 50 mM Tris HCl, pH 8.0). The products were detected with various antibody combinations using electrochemiluminescence (ECL) technology as previously described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643; Lai et al., 2003, J. Biol. Chem. 278: 22475-22481; and Yin et al., 2007, J. Biol. Chem. 282:23639-23644.",IC50,O=C(/C=C/c1ccc(F)cc1)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,84000.0,nM,=,CHEMBL3692699,inactive,O=C(/C=C/c1ccc(F)cc1)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,organic,4.075720713938118
"In Vitro Inhibition Assay: The assay protocol employed was a modified version of that described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643, incorporated herein by reference. Briefly, recombinant peptide substrate was incubated with γ-secretase (40 μg/ml) in the presence or absence of test compound. The reaction mixture contained 0.25% CHAPSO, 0.1 μg/μl BSA, protease inhibitor, 50 mM PIPES, pH 7.0, 5 mM MgCl2, 5 mM CaCl2 and 150 mM KCl. The reaction was incubated for 2.5 hr at 37° C. and stopped by adding RIPA buffer (150 mM NaCl, 1.0% NP-40, 0.5% sodium deoxycholate, 0.1% SDS, 50 mM Tris HCl, pH 8.0). The products were detected with various antibody combinations using electrochemiluminescence (ECL) technology as previously described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643; Lai et al., 2003, J. Biol. Chem. 278: 22475-22481; and Yin et al., 2007, J. Biol. Chem. 282:23639-23644.",IC50,O=C(/C=C/c1ccc(C(F)(F)F)cc1)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,200000.0,nM,=,CHEMBL3692700,inactive,O=C(/C=C/c1ccc(C(F)(F)F)cc1)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,organic,3.6989700043360187
"In Vitro Inhibition Assay: The assay protocol employed was a modified version of that described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643, incorporated herein by reference. Briefly, recombinant peptide substrate was incubated with γ-secretase (40 μg/ml) in the presence or absence of test compound. The reaction mixture contained 0.25% CHAPSO, 0.1 μg/μl BSA, protease inhibitor, 50 mM PIPES, pH 7.0, 5 mM MgCl2, 5 mM CaCl2 and 150 mM KCl. The reaction was incubated for 2.5 hr at 37° C. and stopped by adding RIPA buffer (150 mM NaCl, 1.0% NP-40, 0.5% sodium deoxycholate, 0.1% SDS, 50 mM Tris HCl, pH 8.0). The products were detected with various antibody combinations using electrochemiluminescence (ECL) technology as previously described in Li et al., 2000, Proc. Nat'l Acad. Sci. USA 97:6183-643; Lai et al., 2003, J. Biol. Chem. 278: 22475-22481; and Yin et al., 2007, J. Biol. Chem. 282:23639-23644.",IC50,CN1C(=O)[C@@H](NCC(=O)Nc2ccc3c(c2)C[C@H]2CC[C@@H](C3)[C@H]2NS(=O)(=O)c2ccc(Cl)s2)N=C(c2ccccc2)c2ccccc21,800000.0,nM,=,CHEMBL3692701,inactive,CN1C(=O)[C@@H](NCC(=O)Nc2ccc3c(c2)C[C@H]2CC[C@@H](C3)[C@H]2NS(=O)(=O)c2ccc(Cl)s2)N=C(c2ccccc2)c2ccccc21,organic,3.0969100130080562
"Inhibition Assay: Chinese hamster ovary cells are transfected with the human gene for amyloid precursor protein. The cells are plated at a density of 8000 cells/well into 96-well microtiter plates and cultivated for 24 hours in DMEM cell culture medium containing 10% FCS. The test compound is added to the cells at various concentrations, and the cells are cultivated for 24 hours in the presence of the test compound. The supernatants are collected, and the concentration of amyloid peptide 1-40 is determined using state of the art immunoassay techniques, for example sandwich ELISA, homogenous time-resolved fluorescence (HTRF) immunoassay, or electro-chemiluminescence immunoassay. The potency of the compound is calculated from the percentage of inhibition of amyloid peptide release as a function of the test compound concentration.",IC50,CCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(N)n1,840.0,nM,=,CHEMBL4111029,active,CCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(N)n1,organic,6.075720713938118
"Inhibition Assay: Chinese hamster ovary cells are transfected with the human gene for amyloid precursor protein. The cells are plated at a density of 8000 cells/well into 96-well microtiter plates and cultivated for 24 hours in DMEM cell culture medium containing 10% FCS. The test compound is added to the cells at various concentrations, and the cells are cultivated for 24 hours in the presence of the test compound. The supernatants are collected, and the concentration of amyloid peptide 1-40 is determined using state of the art immunoassay techniques, for example sandwich ELISA, homogenous time-resolved fluorescence (HTRF) immunoassay, or electro-chemiluminescence immunoassay. The potency of the compound is calculated from the percentage of inhibition of amyloid peptide release as a function of the test compound concentration.",IC50,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)OCC2(F)F)n1,7.0,nM,=,CHEMBL4114267,active,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)OCC2(F)F)n1,organic,8.154901959985743
"Inhibition Assay: Chinese hamster ovary cells are transfected with the human gene for amyloid precursor protein. The cells are plated at a density of 8000 cells/well into 96-well microtiter plates and cultivated for 24 hours in DMEM cell culture medium containing 10% FCS. The test compound is added to the cells at various concentrations, and the cells are cultivated for 24 hours in the presence of the test compound. The supernatants are collected, and the concentration of amyloid peptide 1-40 is determined using state of the art immunoassay techniques, for example sandwich ELISA, homogenous time-resolved fluorescence (HTRF) immunoassay, or electro-chemiluminescence immunoassay. The potency of the compound is calculated from the percentage of inhibition of amyloid peptide release as a function of the test compound concentration.",IC50,C[C@]1(c2nc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)N=C(N)OCC1(F)F,8.0,nM,=,CHEMBL2386720,active,C[C@]1(c2nc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)N=C(N)OCC1(F)F,organic,8.096910013008056
"Inhibition Assay: Chinese hamster ovary cells are transfected with the human gene for amyloid precursor protein. The cells are plated at a density of 8000 cells/well into 96-well microtiter plates and cultivated for 24 hours in DMEM cell culture medium containing 10% FCS. The test compound is added to the cells at various concentrations, and the cells are cultivated for 24 hours in the presence of the test compound. The supernatants are collected, and the concentration of amyloid peptide 1-40 is determined using state of the art immunoassay techniques, for example sandwich ELISA, homogenous time-resolved fluorescence (HTRF) immunoassay, or electro-chemiluminescence immunoassay. The potency of the compound is calculated from the percentage of inhibition of amyloid peptide release as a function of the test compound concentration.",IC50,CC1(C)OC(N)=N[C@](C)(c2nc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)C1(F)F,7.0,nM,=,CHEMBL2386721,active,CC1(C)OC(N)=N[C@](C)(c2nc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)C1(F)F,organic,8.154901959985743
"Inhibition Assay: Chinese hamster ovary cells are transfected with the human gene for amyloid precursor protein. The cells are plated at a density of 8000 cells/well into 96-well microtiter plates and cultivated for 24 hours in DMEM cell culture medium containing 10% FCS. The test compound is added to the cells at various concentrations, and the cells are cultivated for 24 hours in the presence of the test compound. The supernatants are collected, and the concentration of amyloid peptide 1-40 is determined using state of the art immunoassay techniques, for example sandwich ELISA, homogenous time-resolved fluorescence (HTRF) immunoassay, or electro-chemiluminescence immunoassay. The potency of the compound is calculated from the percentage of inhibition of amyloid peptide release as a function of the test compound concentration.",IC50,COCC[C@]1(c2nc(NC(=O)c3ncc(C#N)cc3C)ccc2F)N=C(N)OCC1(F)F,49.0,nM,=,CHEMBL2386722,active,COCC[C@]1(c2nc(NC(=O)c3ncc(C#N)cc3C)ccc2F)N=C(N)OCC1(F)F,organic,7.309803919971486
"Inhibition Assay: Chinese hamster ovary cells are transfected with the human gene for amyloid precursor protein. The cells are plated at a density of 8000 cells/well into 96-well microtiter plates and cultivated for 24 hours in DMEM cell culture medium containing 10% FCS. The test compound is added to the cells at various concentrations, and the cells are cultivated for 24 hours in the presence of the test compound. The supernatants are collected, and the concentration of amyloid peptide 1-40 is determined using state of the art immunoassay techniques, for example sandwich ELISA, homogenous time-resolved fluorescence (HTRF) immunoassay, or electro-chemiluminescence immunoassay. The potency of the compound is calculated from the percentage of inhibition of amyloid peptide release as a function of the test compound concentration.",IC50,COCC[C@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)cc3Cl)ccc2F)N=C(N)OCC1(F)F,380.0,nM,=,CHEMBL4108431,active,COCC[C@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)cc3Cl)ccc2F)N=C(N)OCC1(F)F,organic,6.42021640338319
"Inhibition Assay: Chinese hamster ovary cells are transfected with the human gene for amyloid precursor protein. The cells are plated at a density of 8000 cells/well into 96-well microtiter plates and cultivated for 24 hours in DMEM cell culture medium containing 10% FCS. The test compound is added to the cells at various concentrations, and the cells are cultivated for 24 hours in the presence of the test compound. The supernatants are collected, and the concentration of amyloid peptide 1-40 is determined using state of the art immunoassay techniques, for example sandwich ELISA, homogenous time-resolved fluorescence (HTRF) immunoassay, or electro-chemiluminescence immunoassay. The potency of the compound is calculated from the percentage of inhibition of amyloid peptide release as a function of the test compound concentration.",IC50,C[C@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)cc3Cl)ccc2F)N=C(N)OCC1(F)F,27.0,nM,=,CHEMBL2386723,active,C[C@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)cc3Cl)ccc2F)N=C(N)OCC1(F)F,organic,7.568636235841013
"Inhibition Assay: Chinese hamster ovary cells are transfected with the human gene for amyloid precursor protein. The cells are plated at a density of 8000 cells/well into 96-well microtiter plates and cultivated for 24 hours in DMEM cell culture medium containing 10% FCS. The test compound is added to the cells at various concentrations, and the cells are cultivated for 24 hours in the presence of the test compound. The supernatants are collected, and the concentration of amyloid peptide 1-40 is determined using state of the art immunoassay techniques, for example sandwich ELISA, homogenous time-resolved fluorescence (HTRF) immunoassay, or electro-chemiluminescence immunoassay. The potency of the compound is calculated from the percentage of inhibition of amyloid peptide release as a function of the test compound concentration.",IC50,C[C@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)nc3N)ccc2F)N=C(N)OCC1(F)F,140.0,nM,=,CHEMBL4110279,active,C[C@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)nc3N)ccc2F)N=C(N)OCC1(F)F,organic,6.853871964321762
"Inhibition Assay: Chinese hamster ovary cells are transfected with the human gene for amyloid precursor protein. The cells are plated at a density of 8000 cells/well into 96-well microtiter plates and cultivated for 24 hours in DMEM cell culture medium containing 10% FCS. The test compound is added to the cells at various concentrations, and the cells are cultivated for 24 hours in the presence of the test compound. The supernatants are collected, and the concentration of amyloid peptide 1-40 is determined using state of the art immunoassay techniques, for example sandwich ELISA, homogenous time-resolved fluorescence (HTRF) immunoassay, or electro-chemiluminescence immunoassay. The potency of the compound is calculated from the percentage of inhibition of amyloid peptide release as a function of the test compound concentration.",IC50,C[C@]1(c2nc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)N=C(N)OCC1(F)F,12.0,nM,=,CHEMBL2386724,active,C[C@]1(c2nc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)N=C(N)OCC1(F)F,organic,7.920818753952375
