assay,std_type,SMILES,std_value,std_units,standard_relation,molecule_chembl_id
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,Inhibition,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,,%,,CHEMBL3814125
"Potency index, ratio of curcumin IC50 for amyloid beta 42 (unknown origin) aggregation to compound IC50 for amyloid beta 42 (unknown origin) aggregation",Ratio IC50,Nc1nc(NCc2ccc(Br)cc2)nc2ccccc12,1.8,,=,CHEMBL3814001
"Potency index, ratio of curcumin IC50 for amyloid beta 40 (unknown origin) aggregation to compound IC50 for amyloid beta 40 (unknown origin) aggregation",Ratio IC50,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1,18.0,,=,CHEMBL3814631
"Potency index, ratio of curcumin IC50 for amyloid beta 40 (unknown origin) aggregation to compound IC50 for amyloid beta 40 (unknown origin) aggregation",Ratio IC50,Nc1nc(NCc2ccc(Cl)cc2)c2ccccc2n1,2.4,,=,CHEMBL3813811
Inhibition of amyloid beta 42 (unknown origin) aggregation at 25 uM after 24 hrs by transmission electron microscopy,Inhibition,Nc1nc(NCc2ccc(Br)cc2)nc2ccccc12,,%,,CHEMBL3814001
Inhibition of amyloid beta 42 (unknown origin) aggregation at 25 uM after 24 hrs by transmission electron microscopy,Inhibition,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1,,%,,CHEMBL3814631
Inhibition of amyloid beta 40 (unknown origin) aggregation at 25 uM after 24 hrs by transmission electron microscopy,Inhibition,Nc1nc(NCc2ccc(Br)cc2)nc2ccccc12,,%,,CHEMBL3814001
Inhibition of amyloid beta 40 (unknown origin) aggregation at 25 uM after 24 hrs by transmission electron microscopy,Inhibition,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1,,%,,CHEMBL3814631
Inhibition of amyloid beta 42 (unknown origin) aggregation assessed as time at which fluorescence intensity reaches the midpoint between pre and post aggregation baseline growth phase at 25 uM measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis (Rvb = 2 hrs),Inhibition,Nc1nc(NCc2ccc(Br)cc2)nc2ccccc12,,%,,CHEMBL3814001
Inhibition of amyloid beta 42 (unknown origin) aggregation assessed as time at which fluorescence intensity reaches the midpoint between pre and post aggregation baseline growth phase at 25 uM measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis (Rvb = 2 hrs),TIME,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,6.0,hr,=,CHEMBL3814125
Inhibition of amyloid beta 42 (unknown origin) aggregation assessed as time at which fluorescence intensity reaches the midpoint between pre and post aggregation baseline growth phase at 25 uM measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis (Rvb = 2 hrs),TIME,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1,3.5,hr,=,CHEMBL3814631
Inhibition of amyloid beta 42 (unknown origin) aggregation assessed as time at which fluorescence intensity reaches the midpoint between pre and post aggregation baseline growth phase at 25 uM measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis (Rvb = 2 hrs),TIME,Nc1nc(NCc2cccc(Br)c2)c2ccccc2n1,2.6,hr,=,CHEMBL3814270
Inhibition of amyloid beta 40 (unknown origin) aggregation assessed as time at which fluorescence intensity reaches the midpoint between pre and post aggregation baseline growth phase at 25 uM measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis (Rvb = 12.5 hrs),TIME,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,17.0,hr,=,CHEMBL3814125
Inhibition of nucleation-dependent amyloid beta 40 (unknown origin) aggregation at 1 to 25 uM measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,Inhibition,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1,,%,,CHEMBL3814631
Inhibition of nucleation-dependent amyloid beta 40 (unknown origin) aggregation at 1 to 25 uM measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,Inhibition,Nc1nc(NCc2cccc(Br)c2)c2ccccc2n1,,%,,CHEMBL3814270
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4100.0,nM,=,CHEMBL165
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,3100.0,nM,=,CHEMBL140
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCC2CCCCC2)nc2ccccc12,25000.0,nM,>,CHEMBL3814397
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,CC(C)Nc1nc(N)c2ccccc2n1,25000.0,nM,>,CHEMBL3815140
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,CCCNc1nc(N)c2ccccc2n1,25000.0,nM,>,CHEMBL3814981
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCCc2ccccc2)nc2ccccc12,25000.0,nM,>,CHEMBL3814610
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(F)cc2)nc2ccccc12,25000.0,nM,>,CHEMBL3814189
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(F)c2)nc2ccccc12,14700.0,nM,=,CHEMBL3813837
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Br)cc2)nc2ccccc12,1700.0,nM,=,CHEMBL3814001
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,2700.0,nM,=,CHEMBL3814125
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Cl)cc2)nc2ccccc12,8100.0,nM,=,CHEMBL3815148
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Cl)c2)nc2ccccc12,13400.0,nM,=,CHEMBL3814191
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(C(F)(F)F)cc2)nc2ccccc12,5300.0,nM,=,CHEMBL3814611
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(C(F)(F)F)c2)nc2ccccc12,13800.0,nM,=,CHEMBL3815150
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1ccc(CNc2nc(N)c3ccccc3n2)cc1,25000.0,nM,>,CHEMBL3814909
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1cccc(CNc2nc(N)c3ccccc3n2)c1,25000.0,nM,>,CHEMBL3814324
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1ccc(CNc2nc(N)c3ccccc3n2)cc1,22500.0,nM,=,CHEMBL3813859
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1cccc(CNc2nc(N)c3ccccc3n2)c1,25000.0,nM,>,CHEMBL3814103
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccccc2)nc2ccccc12,8400.0,nM,=,CHEMBL3814134
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,O=S(=O)([O-])c1cc(S(=O)(=O)[O-])c2c(/N=N/c3ccccc3)c(O)ccc2c1.[Na+].[Na+],8700.0,nM,=,CHEMBL410263
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCC2CCCCC2)c2ccccc2n1,25000.0,nM,>,CHEMBL3815002
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,CC(C)Nc1nc(N)nc2ccccc12,,,,CHEMBL3814965
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,CCCNc1nc(N)nc2ccccc12,,,,CHEMBL3814813
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCCc2ccccc2)c2ccccc2n1,25000.0,nM,>,CHEMBL3814123
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(F)cc2)c2ccccc2n1,25000.0,nM,>,CHEMBL3357256
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(F)c2)c2ccccc2n1,25000.0,nM,>,CHEMBL3814748
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1,14800.0,nM,=,CHEMBL3814631
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Br)c2)c2ccccc2n1,22300.0,nM,=,CHEMBL3814270
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Cl)cc2)c2ccccc2n1,25000.0,nM,>,CHEMBL3813811
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Cl)c2)c2ccccc2n1,25000.0,nM,>,CHEMBL3814383
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(C(F)(F)F)cc2)c2ccccc2n1,25000.0,nM,>,CHEMBL3814660
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(C(F)(F)F)c2)c2ccccc2n1,21000.0,nM,=,CHEMBL3814349
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1ccc(CNc2nc(N)nc3ccccc23)cc1,25000.0,nM,>,CHEMBL3813788
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1cccc(CNc2nc(N)nc3ccccc23)c1,,,,CHEMBL3814429
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1ccc(CNc2nc(N)nc3ccccc23)cc1,25000.0,nM,>,CHEMBL3813971
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1cccc(CNc2nc(N)nc3ccccc23)c1,25000.0,nM,>,CHEMBL3814363
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccccc2)c2ccccc2n1,25000.0,nM,>,CHEMBL3815078
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,2600.0,nM,=,CHEMBL165
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,1500.0,nM,=,CHEMBL140
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCC2CCCCC2)nc2ccccc12,25000.0,nM,>,CHEMBL3814397
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,CC(C)Nc1nc(N)c2ccccc2n1,25000.0,nM,>,CHEMBL3815140
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,CCCNc1nc(N)c2ccccc2n1,25000.0,nM,>,CHEMBL3814981
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCCc2ccccc2)nc2ccccc12,14900.0,nM,=,CHEMBL3814610
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(F)cc2)nc2ccccc12,25000.0,nM,>,CHEMBL3814189
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(F)c2)nc2ccccc12,11300.0,nM,=,CHEMBL3813837
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Br)cc2)nc2ccccc12,1700.0,nM,=,CHEMBL3814001
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,1500.0,nM,=,CHEMBL3814125
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Cl)cc2)nc2ccccc12,930.0,nM,=,CHEMBL3815148
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Cl)c2)nc2ccccc12,5900.0,nM,=,CHEMBL3814191
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(C(F)(F)F)cc2)nc2ccccc12,2300.0,nM,=,CHEMBL3814611
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(C(F)(F)F)c2)nc2ccccc12,12500.0,nM,=,CHEMBL3815150
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1ccc(CNc2nc(N)c3ccccc3n2)cc1,6800.0,nM,=,CHEMBL3814909
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1cccc(CNc2nc(N)c3ccccc3n2)c1,25000.0,nM,>,CHEMBL3814324
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1ccc(CNc2nc(N)c3ccccc3n2)cc1,13100.0,nM,=,CHEMBL3813859
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1cccc(CNc2nc(N)c3ccccc3n2)c1,25000.0,nM,>,CHEMBL3814103
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccccc2)nc2ccccc12,2200.0,nM,=,CHEMBL3814134
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,O=S(=O)([O-])c1cc(S(=O)(=O)[O-])c2c(/N=N/c3ccccc3)c(O)ccc2c1.[Na+].[Na+],3000.0,nM,=,CHEMBL410263
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCC2CCCCC2)c2ccccc2n1,13600.0,nM,=,CHEMBL3815002
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,CC(C)Nc1nc(N)nc2ccccc12,10200.0,nM,=,CHEMBL3814965
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,CCCNc1nc(N)nc2ccccc12,14900.0,nM,=,CHEMBL3814813
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCCc2ccccc2)c2ccccc2n1,7800.0,nM,=,CHEMBL3814123
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(F)cc2)c2ccccc2n1,3100.0,nM,=,CHEMBL3357256
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(F)c2)c2ccccc2n1,2800.0,nM,=,CHEMBL3814748
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1,80.0,nM,=,CHEMBL3814631
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Br)c2)c2ccccc2n1,580.0,nM,=,CHEMBL3814270
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Cl)cc2)c2ccccc2n1,620.0,nM,=,CHEMBL3813811
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Cl)c2)c2ccccc2n1,1900.0,nM,=,CHEMBL3814383
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(C(F)(F)F)cc2)c2ccccc2n1,1900.0,nM,=,CHEMBL3814660
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(C(F)(F)F)c2)c2ccccc2n1,3500.0,nM,=,CHEMBL3814349
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1ccc(CNc2nc(N)nc3ccccc23)cc1,1100.0,nM,=,CHEMBL3813788
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1cccc(CNc2nc(N)nc3ccccc23)c1,20600.0,nM,=,CHEMBL3814429
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1ccc(CNc2nc(N)nc3ccccc23)cc1,3900.0,nM,=,CHEMBL3813971
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1cccc(CNc2nc(N)nc3ccccc23)c1,3600.0,nM,=,CHEMBL3814363
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccccc2)c2ccccc2n1,4800.0,nM,=,CHEMBL3815078
Induction of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,Activity,Nc1nc(N)c2ccccc2n1,,,,CHEMBL268354
Induction of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,Activity,Nc1nc(N)c2ccccc2n1,,,,CHEMBL268354
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,9000.0,nM,=,CHEMBL140
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,Nc1c(/N=N/c2ccc(-c3ccc(/N=N/c4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],1300.0,nM,=,CHEMBL429694
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(CCNc2cccc(NCCc3ccccn3)n2)n1,35000.0,nM,=,CHEMBL3815004
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(NCCCc2cccc(NCCCc3ccccn3)n2)n1,17000.0,nM,=,CHEMBL3814529
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(NCCc2cccc(NCCc3ccccn3)n2)n1,25000.0,nM,=,CHEMBL3814719
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(NCCc2cccc(NCc3ccccn3)n2)n1,13000.0,nM,=,CHEMBL3814159
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(CCNc2cccc(CCN(c3ccccn3)c3ccccn3)n2)n1,240000.0,nM,=,CHEMBL3813916
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(CCNc2cccc(CCNc3ccccn3)n2)n1,280000.0,nM,=,CHEMBL3814563
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(CCNc2cccc(NCCc3ccccn3)n2)n1,12.0,%,=,CHEMBL3815004
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(CCNc2cccc(NC)n2)n1,23.0,%,=,CHEMBL3813794
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(NCCc2ccccn2)n1,36.0,%,=,CHEMBL3813898
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(NCCCc2cccc(NCCCc3ccccn3)n2)n1,12.0,%,=,CHEMBL3814529
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(NCCc2cccc(NCCc3ccccn3)n2)n1,12.0,%,=,CHEMBL3814719
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(NCCc2cccc(NCc3ccccn3)n2)n1,14.0,%,=,CHEMBL3814159
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(CCNc2cccc(CCN(c3ccccn3)c3ccccn3)n2)n1,16.0,%,=,CHEMBL3813916
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(CNc2cccc(CCN(c3ccccn3)c3ccccn3)n2)n1,23.0,%,=,CHEMBL3813815
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(CCNc2cccc(CCNc3ccccn3)n2)n1,16.0,%,=,CHEMBL3814563
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(CNc2cccc(CCNc3ccccn3)n2)n1,60.0,%,>,CHEMBL3813850
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(CCCNc2cccc(CCCNc3ccccn3)n2)n1,23.0,%,=,CHEMBL3814513
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(CCNc2cccc(CCCNc3ccccn3)n2)n1,23.0,%,=,CHEMBL3814516
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(CCNc2cccc(CNc3ccccn3)n2)n1,53.0,%,=,CHEMBL3814500
Inhibition of Abeta42 (unknown origin) aggregation assessed as ThT fluorescence at 330 uM measured after 24 hrs by ThT fluorescence assay relative to DMSO control,Activity,CNc1cccc(CNc2cccc(CNc3ccccn3)n2)n1,60.0,%,>,CHEMBL3814151
Inhibition of self-induced amyloid beta (1 to 40) (unknown origin) fibril aggregation assessed as remaining fibril aggregates at 100 uM after 7 days at pH 6.60 by thioflavin-T fluorescence assay,Activity,Oc1c(I)cc(Cl)c2cccnc12,112.03,%,=,CHEMBL497
Inhibition of self-induced amyloid beta (1 to 40) (unknown origin) fibril aggregation assessed as remaining fibril aggregates at 100 uM after 3 days at pH 6.60 by thioflavin-T fluorescence assay,Activity,Oc1ccc(/N=C/c2c(O)ccc3ccccc23)c(O)c1,6.51,%,=,CHEMBL3818051
